jobs,512
machines,16
numInd,100
numGen,100
toMatrix,10
elitism,10
mutate,10
Result,19269909.031251
toMatrix,10
elitism,10
mutate,20
jobs,512
machines,16
numInd,100
numGen,100
Result,17915882.750000
mutate,30
jobs,512
machines,16
numInd,100
numGen,100
toMatrix,10
elitism,10
Result,18307692.804688
machines,16
numInd,100
numGen,100
toMatrix,10
elitism,20
mutate,10
jobs,512
Result,18146264.937500
numGen,100
toMatrix,10
elitism,20
mutate,20
jobs,512
machines,16
numInd,100
Result,18064514.281250
elitism,20
mutate,30
jobs,512
machines,16
numInd,100
numGen,100
toMatrix,10
Result,17804230.985351
toMatrix,10
elitism,30
mutate,10
jobs,512
machines,16
numInd,100
numGen,100
Result,19116223.960938
machines,16
numInd,100
numGen,100
toMatrix,10
elitism,30
mutate,20
jobs,512
Result,20615994.742188
numInd,100
numGen,100
toMatrix,10
elitism,30
mutate,30
jobs,512
machines,16
Result,18420783.328125
elitism,40
mutate,10
jobs,512
machines,16
numInd,100
numGen,100
toMatrix,10
Result,19492321.640625
mutate,20
jobs,512
machines,16
numInd,100
numGen,100
toMatrix,10
elitism,40
Result,18147965.716796
machines,16
numInd,100
numGen,100
toMatrix,10
elitism,40
mutate,30
jobs,512
Result,18715764.363280
toMatrix,10
elitism,50
mutate,10
jobs,512
machines,16
numInd,100
numGen,100
Result,18544383.265625
numGen,100
toMatrix,10
elitism,50
mutate,20
jobs,512
machines,16
numInd,100
Result,18505845.357422
machines,16
numInd,100
numGen,100
toMatrix,10
elitism,50
mutate,30
jobs,512
Result,18253741.783203
numInd,100
numGen,100
toMatrix,20
elitism,10
mutate,10
jobs,512
machines,16
Result,17040365.179688
elitism,10
mutate,20
jobs,512
machines,16
numInd,100
numGen,100
toMatrix,20
Result,16291026.949219
toMatrix,20
elitism,10
mutate,30
jobs,512
machines,16
numInd,100
numGen,100
Result,16839436.992188
toMatrix,20
elitism,20
mutate,10
jobs,512
machines,16
numInd,100
numGen,100
Result,16796319.964844
numInd,100
numGen,100
toMatrix,20
elitism,20
mutate,20
jobs,512
machines,16
Result,17536182.666015
numInd,100
numGen,100
toMatrix,20
elitism,20
mutate,30
jobs,512
machines,16
Result,15779594.750245
toMatrix,20
elitism,30
mutate,10
jobs,512
machines,16
numInd,100
numGen,100
Result,16699635.526365
numInd,100
numGen,100
toMatrix,20
elitism,30
mutate,20
jobs,512
machines,16
Result,17964866.453125
numInd,100
numGen,100
toMatrix,20
elitism,30
mutate,30
jobs,512
machines,16
Result,15823546.585938
elitism,40
mutate,10
jobs,512
machines,16
numInd,100
numGen,100
toMatrix,20
Result,16377726.902344
jobs,512
machines,16
numInd,100
numGen,100
toMatrix,20
elitism,40
mutate,20
Result,16764555.250000
numGen,100
toMatrix,20
elitism,40
mutate,30
jobs,512
machines,16
numInd,100
Result,15837407.796875
numInd,100
numGen,100
toMatrix,20
elitism,50
mutate,10
jobs,512
machines,16
Result,18701666.291383
elitism,50
mutate,20
jobs,512
machines,16
numInd,100
numGen,100
toMatrix,20
Result,17487138.136720
jobs,512
machines,16
numInd,100
numGen,100
toMatrix,20
elitism,50
mutate,30
Result,17246173.781250
elitism,10
mutate,10
jobs,512
machines,16
numInd,100
numGen,100
toMatrix,30
Result,16387751.624024
elitism,10
mutate,20
jobs,512
machines,16
numInd,100
numGen,100
toMatrix,30
Result,14440373.115233
jobs,512
machines,16
numInd,100
numGen,100
toMatrix,30
elitism,10
mutate,30
Result,15403580.828125
jobs,512
machines,16
numInd,100
numGen,100
toMatrix,30
elitism,20
mutate,10
Result,16443137.824219
mutate,20
jobs,512
machines,16
numInd,100
numGen,100
toMatrix,30
elitism,20
Result,16813159.345460
elitism,20
mutate,30
jobs,512
machines,16
numInd,100
numGen,100
toMatrix,30
Result,16523372.726562
jobs,512
machines,16
numInd,100
numGen,100
toMatrix,30
elitism,30
mutate,10
Result,17477448.632813
mutate,20
jobs,512
machines,16
numInd,100
numGen,100
toMatrix,30
elitism,30
Result,16851472.125000
numGen,100
toMatrix,30
elitism,30
mutate,30
jobs,512
machines,16
numInd,100
Result,16585400.006103
numGen,100
toMatrix,30
elitism,40
mutate,10
jobs,512
machines,16
numInd,100
Result,15457420.687009
machines,16
numInd,100
numGen,100
toMatrix,30
elitism,40
mutate,20
jobs,512
Result,17955062.976562
jobs,512
machines,16
numInd,100
numGen,100
toMatrix,30
elitism,40
mutate,30
Result,17508356.735109
machines,16
numInd,100
numGen,100
toMatrix,30
elitism,50
mutate,10
jobs,512
Result,17846915.314453
toMatrix,30
elitism,50
mutate,20
jobs,512
machines,16
numInd,100
numGen,100
Result,17707815.259154
numGen,100
toMatrix,30
elitism,50
mutate,30
jobs,512
machines,16
numInd,100
Result,17990488.889284
jobs,512
machines,16
numInd,100
numGen,100
toMatrix,40
elitism,10
mutate,10
Result,15232093.089843
machines,16
numInd,100
numGen,100
toMatrix,40
elitism,10
mutate,20
jobs,512
Result,14892868.332032
machines,16
numInd,100
numGen,100
toMatrix,40
elitism,10
mutate,30
jobs,512
Result,15356271.798828
numGen,100
toMatrix,40
elitism,20
mutate,10
jobs,512
machines,16
numInd,100
Result,14753652.699953
jobs,512
machines,16
numInd,100
numGen,100
toMatrix,40
elitism,20
mutate,20
Result,15961382.596680
numInd,100
numGen,100
toMatrix,40
elitism,20
mutate,30
jobs,512
machines,16
Result,15205190.339844
elitism,30
mutate,10
jobs,512
machines,16
numInd,100
numGen,100
toMatrix,40
Result,17198483.255615
toMatrix,40
elitism,30
mutate,20
jobs,512
machines,16
numInd,100
numGen,100
Result,17355450.253906
elitism,30
mutate,30
jobs,512
machines,16
numInd,100
numGen,100
toMatrix,40
Result,16244998.075684
toMatrix,40
elitism,40
mutate,10
jobs,512
machines,16
numInd,100
numGen,100
Result,17521757.370117
numInd,100
numGen,100
toMatrix,40
elitism,40
mutate,20
jobs,512
machines,16
Result,17323085.443114
numInd,100
numGen,100
toMatrix,40
elitism,40
mutate,30
jobs,512
machines,16
Result,16235755.522949
jobs,512
machines,16
numInd,100
numGen,100
toMatrix,40
elitism,50
mutate,10
Result,18576264.367187
toMatrix,40
elitism,50
mutate,20
jobs,512
machines,16
numInd,100
numGen,100
Result,17896731.058594
mutate,30
jobs,512
machines,16
numInd,100
numGen,100
toMatrix,40
elitism,50
Result,17575010.119629
jobs,512
machines,16
numInd,100
numGen,100
toMatrix,50
elitism,10
mutate,10
Result,16558314.666504
numGen,100
toMatrix,50
elitism,10
mutate,20
jobs,512
machines,16
numInd,100
Result,15224767.320495
toMatrix,50
elitism,10
mutate,30
jobs,512
machines,16
numInd,100
numGen,100
Result,15189834.632814
elitism,20
mutate,10
jobs,512
machines,16
numInd,100
numGen,100
toMatrix,50
Result,16013015.962889
jobs,512
machines,16
numInd,100
numGen,100
toMatrix,50
elitism,20
mutate,20
Result,17040069.982421
jobs,512
machines,16
numInd,100
numGen,100
toMatrix,50
elitism,20
mutate,30
Result,16002081.352296
jobs,512
machines,16
numInd,100
numGen,100
toMatrix,50
elitism,30
mutate,10
Result,17155803.085938
elitism,30
mutate,20
jobs,512
machines,16
numInd,100
numGen,100
toMatrix,50
Result,16931289.277344
numInd,100
numGen,100
toMatrix,50
elitism,30
mutate,30
jobs,512
machines,16
Result,17832068.215577
jobs,512
machines,16
numInd,100
numGen,100
toMatrix,50
elitism,40
mutate,10
Result,18169550.453125
numGen,100
toMatrix,50
elitism,40
mutate,20
jobs,512
machines,16
numInd,100
Result,17382047.781250
numInd,100
numGen,100
toMatrix,50
elitism,40
mutate,30
jobs,512
machines,16
Result,17710448.687500
numInd,100
numGen,100
toMatrix,50
elitism,50
mutate,10
jobs,512
machines,16
Result,18977051.990234
elitism,50
mutate,20
jobs,512
machines,16
numInd,100
numGen,100
toMatrix,50
Result,19591739.354004
numGen,100
toMatrix,50
elitism,50
mutate,30
jobs,512
machines,16
numInd,100
Result,18253626.568359
toMatrix,10
elitism,10
mutate,10
jobs,512
machines,16
numInd,100
numGen,200
Result,18472977.621094
toMatrix,10
elitism,10
mutate,20
jobs,512
machines,16
numInd,100
numGen,200
Result,17233812.130860
machines,16
numInd,100
numGen,200
toMatrix,10
elitism,10
mutate,30
jobs,512
Result,16156658.007813
jobs,512
machines,16
numInd,100
numGen,200
toMatrix,10
elitism,20
mutate,10
Result,18685443.324952
elitism,20
mutate,20
jobs,512
machines,16
numInd,100
numGen,200
toMatrix,10
Result,18463402.605469
numGen,200
toMatrix,10
elitism,20
mutate,30
jobs,512
machines,16
numInd,100
Result,15131988.644531
jobs,512
machines,16
numInd,100
numGen,200
toMatrix,10
elitism,30
mutate,10
Result,18341025.994141
machines,16
numInd,100
numGen,200
toMatrix,10
elitism,30
mutate,20
jobs,512
Result,17512503.561279
toMatrix,10
elitism,30
mutate,30
jobs,512
machines,16
numInd,100
numGen,200
Result,16272942.259766
elitism,40
mutate,10
jobs,512
machines,16
numInd,100
numGen,200
toMatrix,10
Result,17527339.033691
jobs,512
machines,16
numInd,100
numGen,200
toMatrix,10
elitism,40
mutate,20
Result,18227001.185792
jobs,512
machines,16
numInd,100
numGen,200
toMatrix,10
elitism,40
mutate,30
Result,16408577.722656
toMatrix,10
elitism,50
mutate,10
jobs,512
machines,16
numInd,100
numGen,200
Result,19187800.300781
mutate,20
jobs,512
machines,16
numInd,100
numGen,200
toMatrix,10
elitism,50
Result,17453585.156250
numGen,200
toMatrix,10
elitism,50
mutate,30
jobs,512
machines,16
numInd,100
Result,16828198.289062
numInd,100
numGen,200
toMatrix,20
elitism,10
mutate,10
jobs,512
machines,16
Result,15707030.777222
toMatrix,20
elitism,10
mutate,20
jobs,512
machines,16
numInd,100
numGen,200
Result,16081288.304688
toMatrix,20
elitism,10
mutate,30
jobs,512
machines,16
numInd,100
numGen,200
Result,13963680.141114
jobs,512
machines,16
numInd,100
numGen,200
toMatrix,20
elitism,20
mutate,10
Result,15672360.296875
numGen,200
toMatrix,20
elitism,20
mutate,20
jobs,512
machines,16
numInd,100
Result,16531592.767701
numInd,100
numGen,200
toMatrix,20
elitism,20
mutate,30
jobs,512
machines,16
Result,13922153.714844
numInd,100
numGen,200
toMatrix,20
elitism,30
mutate,10
jobs,512
machines,16
Result,16422744.857421
jobs,512
machines,16
numInd,100
numGen,200
toMatrix,20
elitism,30
mutate,20
Result,15465204.109375
numInd,100
numGen,200
toMatrix,20
elitism,30
mutate,30
jobs,512
machines,16
Result,14873230.974610
mutate,10
jobs,512
machines,16
numInd,100
numGen,200
toMatrix,20
elitism,40
Result,15753096.476562
jobs,512
machines,16
numInd,100
numGen,200
toMatrix,20
elitism,40
mutate,20
Result,15833132.429687
numGen,200
toMatrix,20
elitism,40
mutate,30
jobs,512
machines,16
numInd,100
Result,14426332.714844
mutate,10
jobs,512
machines,16
numInd,100
numGen,200
toMatrix,20
elitism,50
Result,17689760.765624
mutate,20
jobs,512
machines,16
numInd,100
numGen,200
toMatrix,20
elitism,50
Result,17115994.617188
numInd,100
numGen,200
toMatrix,20
elitism,50
mutate,30
jobs,512
machines,16
Result,15558218.089844
jobs,512
machines,16
numInd,100
numGen,200
toMatrix,30
elitism,10
mutate,10
Result,15571753.773437
numInd,100
numGen,200
toMatrix,30
elitism,10
mutate,20
jobs,512
machines,16
Result,14056052.650146
machines,16
numInd,100
numGen,200
toMatrix,30
elitism,10
mutate,30
jobs,512
Result,12872873.107546
mutate,10
jobs,512
machines,16
numInd,100
numGen,200
toMatrix,30
elitism,20
Result,15066045.898437
toMatrix,30
elitism,20
mutate,20
jobs,512
machines,16
numInd,100
numGen,200
Result,13810650.562500
numInd,100
numGen,200
toMatrix,30
elitism,20
mutate,30
jobs,512
machines,16
Result,13383821.953125
mutate,10
jobs,512
machines,16
numInd,100
numGen,200
toMatrix,30
elitism,30
Result,14730229.648437
numGen,200
toMatrix,30
elitism,30
mutate,20
jobs,512
machines,16
numInd,100
Result,14414523.875000
elitism,30
mutate,30
jobs,512
machines,16
numInd,100
numGen,200
toMatrix,30
Result,13913598.647461
machines,16
numInd,100
numGen,200
toMatrix,30
elitism,40
mutate,10
jobs,512
Result,15798878.177491
numGen,200
toMatrix,30
elitism,40
mutate,20
jobs,512
machines,16
numInd,100
Result,14120892.761719
elitism,40
mutate,30
jobs,512
machines,16
numInd,100
numGen,200
toMatrix,30
Result,14777335.593750
jobs,512
machines,16
numInd,100
numGen,200
toMatrix,30
elitism,50
mutate,10
Result,15379335.235107
mutate,20
jobs,512
machines,16
numInd,100
numGen,200
toMatrix,30
elitism,50
Result,16316055.896244
numInd,100
numGen,200
toMatrix,30
elitism,50
mutate,30
jobs,512
machines,16
Result,13546240.187500
